销售外呼（华星奔驰武侯店）,汽车,华星锦业集团有限公司,高中,6千-1.2万,无需经验,成都
外贸业务员,家具/家电/玩具/礼品,广东力丰电器有限公司,大专,8千-1.5万,3-4年,惠州
总账会计,原材料和加工,江苏诚意集团有限公司,大专,5-6千,1年,徐州
采购主管/经理,多元化业务集团公司,深圳市神州通投资集团有限公司,本科,1.2-2万,5-7年,深圳
电商运营经理,贸易/进出口,渲美美健（深圳）科技股份有限公司,本科,1.5-2.5万,5-7年,深圳
自动化电控工程师,机械/设备/重工,苏州范瑞机电科技有限公司,大专,5-8千,1年,盐城
外派广州仓管员（番禺）,服装/纺织/皮革,福建浔兴拉链科技股份有限公司,高中,6-7千,无需经验,广州
销售精英（攸县、醴陵、株洲城区）,快速消费品(食品、饮料、化妆品),上海旺旺食品集团有限公司,高中,3-6千,1年,株洲
Specialist 专家（繁忙季节） - Apple Store 零售店,批发/零售,苹果贸易(上海)有限公司,大专,,无需经验,上海
智能灯光推广者,建筑/建材/工程,广州市金古惠照明有限公司,中技/中专,5千-1万,1年,广州
解决方案经理,环保,无锡康宇水处理设备有限公司,大专,10-20万/年,5-7年,杭州
外贸销售,服装/纺织/皮革,浙江红利集团有限公司,本科,1-1.2万,3-4年,上海
在线客服专员,互联网/电子商务,广州市乐华鸿盛贸易有限公司,中技/中专,4.5-9千,1年,广州
项目助理,建筑/建材/工程,广州市金古惠照明有限公司,中技/中专,3-5千,1年,广州
市政测量施工员,建筑/建材/工程,四川华鑫鼎盛建设工程有限公司,大专,1-1.2万,3-4年,成都
二手车评估师,汽车,东莞奥泽汽车销售服务有限公司,大专,5-8千,1年,东莞
销售主管（常驻安徽）,计算机软件,苏州华朋实业有限公司,中技/中专,6千-1.2万,3-4年,苏州
左岭世茂十里星河小区保安（消防设施证）4000-4200,生活服务,湖北中城特卫保安服务有限公司,初中及以下,4-4.2千,无需经验,武汉
加盟招商经理,餐饮业,武汉市和善园餐饮管理有限公司,本科,5千-1万,3-4年,武汉
